#data from https://ltl-school.com/chinese-vocabulary/
Vocabulary,Characters,Pinyin
School,学校,xuéxiào
Classroom,教室,jiàoshì
Student,学生,xuéshēng
Teacher,老师,lǎoshī
Textbook,课本,kèběn
Homework,作业,zuòyè
Quiz,测验,cèyàn
Exam,考试,kǎoshì
History,历史学,lìshǐ xué
Geography,地理学,dì lǐ xué
Beer,啤酒,píjiǔ
Baijiu,白酒,bái jiǔ
Wine,葡萄酒,pú táo jiǔ
Red Wine,红酒,hóngjiǔ
White Wine,白葡萄酒,bái pútáojiǔ
Sparkling Wine,气泡酒,qìpào jiǔ
Champagne,香槟酒,xiāng bīn jiǔ
Vodka,伏特加,fú tè jiā
Whiskey,威士忌,wēi shì jì
Gin,劲酒,jìn jiǔ
Allergic,过敏,guò mǐn
Bless You,一百岁,yī bǎi suì
Hay Fever,花粉症,huāfěn zhèng
Pollen,花粉,huā fěn
Spring,春天,chūn tiān
Animal,动物,dòng wù
Dog,狗,gǒu
Dragon,龙,lóng
Dolphin,海豚,hǎi tún
Snake,蛇,shé
Cow,牛,niú
Rat,鼠,shǔ
Tiger,虎,hǔ
Rabbit,兔子,tù zǐ
Horse,马,mǎ
Body,身体,shēn tǐ
Head,头,tóu
Face,脸,liǎn
Mouth,嘴,zuǐ
Chest,胸,xiōng
Back,背,bèi
Arm,胳膊,gē bo
Hand,手,shǒu
Leg,腿,tuǐ
Feet,脚底,jiǎodǐ
Chess (International),国际象棋,guó jì xiàng qí
Chinese Chess,象棋,xiàngqí
Chess Piece,棋子,qízǐ
Chess Player,棋手,qí shǒu
Chess Board,棋盘,qí pán
White Piece,白棋,bái qí
Black Piece,黑棋,hēi qí
Pawn,兵, 卒,bīng, zú
Queen,后,hòu
King,王,wáng
Trousers,裤子,kù zi
Jeans,牛仔裤,niú zǎi kù
Shorts,短裤,duǎn kù
Dress,连衣裙,liányīqún
Skirt,裙子,qún zi
T-shirt,T恤,T xù
Jumper,毛衣,máo yī
Suit,西装,xī zhuāng
Shoe,鞋,xié
Socks,袜子,wàzi
Coffee,咖啡,kāfēi
Latte,拿铁,nátiě
Cappuccino,卡布基诺,kǎbùjīnuò
Americano,美式咖啡,měishì Kāfēi
Espresso,浓缩咖啡,nóngsuō kāfēi
Hot,热的,rè de
Cold,冰的,bīng de
Milk,牛奶,niúnǎi
Sugar,糖,táng
Caramel,焦糖,jiāo táng
Black,黑色,hēi sè
White,白色,bái sè
Red,红色,hóng sè
Pink,粉色,fěn sè
Green,绿色,lǜ sè
Yellow,黄色,huáng sè
Blue,蓝色,lán sè
Purple,紫色,zǐ sè
Gray,灰色,huī sè
Gold,金色,jīn sè
Left ,左边,zuǒ biān
Right ,右边,yòu biān
Go straight ,直走,zhí zǒu
Go backwards ,向后走, xiàng hòu zǒu
Up ,向上,xiàng shàng
Down ,向下,xiàng xià
Over ,通过,guò
Through ,通过,tōng guò
Stop ,停,tíng
North ,北,běi
Dog,狗,gǒu
Paw ,爪 zhuǎ,zhuǎ
Snout ,口鼻部 ,kǒu bí bù
Tail ,尾巴 ,wěi ba
To Bite,咬人 ,yǎo rén
To Sniff ,闻,wén
To Bark ,吠,fèi
Bulldog ,牛头,niú tóu
Poodle ,贵宾,guì bīn
Sheepdog ,牧羊,mù yáng
Easter ,复活节 ,fùhuó jié
Happy Easter,复活节快乐,fùhuó jié kuàilè
Easter Bunny ,复活节兔子 ,fùhuó jié tùzǐ
Easter Egg ,彩蛋,cǎidàn
Easter Egg Hunt ,寻找彩蛋 ,xúnzhǎo cǎidàn
Hot Cross Buns ,十字餐包,shízì cān bāo
chocolate ,巧克力,qiǎokèlì
decorations ,装饰 ,zhuāngshì
lambs ,羊羔, yánggāo
chicks ,小鸡,xiǎo jī
Chicken ,鸡蛋,jī dàn
Duck ,鸭子蛋 ,yā zi dàn
Emu ,鸸鹋蛋,ér miáo dàn
Baked Egg ,烘蛋,hōng dàn
Boiled Egg ,水煮蛋,shuǐ zhǔ dàn
Fried Egg ,煎鸡蛋,jiān jīdàn
Omelette ,煎蛋卷,jiān dàn juǎn
Poached egg ,荷包蛋,hébāodàn
Scrambled Egg,炒蛋,chǎo dàn
Yolk ,蛋黄,dàn huáng
Democratic Party ,民主党,mínzhǔdǎng
Republican Party ,共和党, gònghédǎng
Libertarian Party ,自由意志党 ,zìyóu yìzhì dǎng
Green Party ,绿党, lǜdǎng
Constitution Party ,宪法党 ,xiànfǎ dǎng
Politics ,政治,zhèngzhì
Democracy ,民主, mínzhǔ
Presidential Debate ,总统辩论 ,zǒngtǒng biànlùn
Voting ,投票,tóupiào
Nominate ,提名,tímíng
Congratulations to you!,恭喜你,gōng xǐ nǐ
I’m happy for you!,我都替你高兴,wǒ dōu tì nǐ gāo xìng
I am so happy for you!,我真为你高兴,wǒ zhēn wèi nǐ gāoxìng
Well done!,干得好,gàn dé hǎo
Excellent!,太棒了,tài bàng le
You are awesome!,你真棒,nǐ zhēn bàng
Amazing!,了不起,liǎo bù qǐ！
You are so great!,你太厉害了,tài lì hai le
Don’t give up!,不要放弃,bù yào fàng qì
You can do it!,你可以的,nǐ kěyǐ de
Excited ,兴奋, xīngfèn
Grateful ,感激的,gǎnjīde
Brave ,勇敢,yǒnggǎn
Carefree ,无忧无虑,wú yōu wú lǜ
Angry ,生气 ,shēngqì
Annoyed ,恼火,nǎo huǒ
Anxious ,焦虑,jiāo lǜ
Bored ,厌烦,yàn fán
Competitive ,有竞争力,yǒu jìngzhēng lì
Hungry ,饿,è
Vocabulary,Charachters,Pinyin
Bream,鳊鱼,biān yú
Catfish,鲶鱼,nián yú
Crab,螃蟹,páng xiè
Flounder,比目鱼,bǐ mù yú
Jellyfish,海蜇,hǎi zhé
Lobster,小龙虾,xiǎo lóng xiā
Octopus,章鱼,zhāng yú
Piranha,食人鱼,shí rén yú
Salmon,鲑鱼,guī yú
Tuna,金枪鱼,jīn qiāng yú
Apple,苹果,píng guǒ
Avocado ,牛油果,niú yóu guǒ
Banana ,香蕉,xiāng jiāo
Blueberry ,蓝莓,lán méi
Coconut ,椰子,yē zi
Grape ,葡萄,pú táo
Grapefruit ,柚子, yòu zi
Lemon ,柠檬,níng méng
Lime ,酸橙,suān chéng
Mango ,芒果,máng guǒ
Table ,桌子,zhuō zi
Chair,椅子,yǐ zi
Bed ,床,chuáng
Couch ,沙发,shā fā
Mirror ,镜子, jìng zi
Carpet ,地毯,dìtǎn
Fireplace ,壁炉,bì lú
Wallpaper ,墙纸,qiáng zhǐ
Blinds ,百叶窗,bǎi yè chuāng
Table lamp ,台灯,tái dēng
Hello (Standard),你好,nǐ hǎo
Hello (Polite),您好,nín hǎo
How are you?,你好吗,nǐ hǎo ma
How are you? (Polite) ,您好吗,nín hǎo ma
what’s up?,你怎么样,nǐ zěnmeyàng
nice to meet you,幸会,xìnghuì
(Very formal greeting),久仰,jiǔyǎng
Morning!,早,zǎo
Have you eaten?,你吃了吗,nǐ chī le ma
Hello (answering phone),喂,wèi
House ,家,jiā
Basement ,地下室,dìxià shì
Bathroom ,洗手间,xǐshou jiān
Dining Room ,餐厅,cāntīng
Bedroom ,卧室,wòshì
Kitchen ,厨房,chúfáng
Office ,办公室,bàngōngshì
Downstairs ,楼下,lóuxià
